antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'High_Spending'}),frozenset({'Low_Income'}),0.5010183299389002,0.7515274949083504,0.4969450101832994,0.9918699186991871,1.3198052305726309,1.0,0.12041595978115238,30.562118126273155,0.48561391769822676,0.6576819407008087,0.967279754764761,0.8265582655826558
frozenset({'High_Income'}),frozenset({'Low_Spending'}),0.2484725050916497,0.4989816700610998,0.24439918533604887,0.9836065573770492,1.9712278353964536,1.0,0.1204159597811524,30.562118126272875,0.6556007226738935,0.48582995951417,0.9672797547647608,0.736701237872198
frozenset({'Low_Income'}),frozenset({'High_Spending'}),0.7515274949083504,0.5010183299389002,0.4969450101832994,0.6612466124661246,1.3198052305726309,1.0,0.12041595978115238,1.4729938900203665,0.9752082773448,0.6576819407008087,0.3211105580443559,0.8265582655826558
frozenset({'Low_Spending'}),frozenset({'Low_Income'}),0.4989816700610998,0.7515274949083504,0.2545824847250509,0.5102040816326531,0.678889441955644,1.0,-0.12041595978115244,0.5072980312287847,-0.485613917698227,0.25562372188139054,-0.9712278353964541,0.4244787345832642
