,Decision Tree,SVM,Random Forest,KNN,Gradient Boosting,Naive Bayes,Logistic Regression,MLP Neural Net
Decision Tree,1.0,5.347346179661187e-10,0.17391698714358772,1.0341066775450788e-07,0.10863107153191635,0.022562882895923352,8.17270045982764e-07,0.03375370098913634
SVM,5.347346179661187e-10,1.0,5.180579772395723e-10,1.582534859710528e-07,2.0986241322320827e-09,5.941946066864364e-10,7.834225768177812e-10,1.881222810214201e-07
Random Forest,0.17391698714358772,5.180579772395723e-10,1.0,1.1980998023314862e-07,0.7065147809045025,0.0011459091350724427,2.8319384911718835e-07,0.0064364000735252615
KNN,1.0341066775450788e-07,1.582534859710528e-07,1.1980998023314862e-07,1.0,6.421385716222611e-07,2.3536528698119565e-06,0.8942948223013599,0.0001381007151799748
Gradient Boosting,0.10863107153191635,2.0986241322320827e-09,0.7065147809045025,6.421385716222611e-07,1.0,0.012988943514581928,1.7500038589723057e-06,0.005478063294518997
Naive Bayes,0.022562882895923352,5.941946066864364e-10,0.0011459091350724427,2.3536528698119565e-06,0.012988943514581928,1.0,1.0438197888563186e-07,0.32527650762946303
Logistic Regression,8.17270045982764e-07,7.834225768177812e-10,2.8319384911718835e-07,0.8942948223013599,1.7500038589723057e-06,1.0438197888563186e-07,1.0,0.00011816327101375576
MLP Neural Net,0.03375370098913634,1.881222810214201e-07,0.0064364000735252615,0.0001381007151799748,0.005478063294518997,0.32527650762946303,0.00011816327101375576,1.0
