Model,R²,Adjusted R²,MSE,RMSE,MAE,CV_R²_Mean,CV_R²_Std
Polynomial (deg=3),0.6876,0.686,0.0125,0.1118,0.0886,0.7327,0.0263
SVR,0.6858,0.6842,0.0126,0.1122,0.09,0.7254,0.0234
Ridge Regression,0.6776,0.676,0.0129,0.1136,0.091,0.7137,0.0254
Linear Regression,0.6728,0.6712,0.0131,0.1145,0.0917,0.7138,0.028
Random Forest Regressor,0.6602,0.6585,0.0136,0.1167,0.0924,0.7229,0.0323
Decision Tree Regressor,0.6354,0.6336,0.0146,0.1208,0.0952,0.7033,0.0343
Lasso Regression,-0.0003,-0.0054,0.0401,0.2002,0.1578,-0.0012,0.001
