Model,R²,Adjusted R²,MSE,RMSE,MAE,CV_R²_Mean,CV_R²_Std
SVR,0.7149,0.7105,0.0114,0.1069,0.0862,0.7499,0.0227
Polynomial (deg=2),0.7123,0.7078,0.0115,0.1073,0.0855,0.7405,0.0223
Random Forest Regressor,0.7061,0.7015,0.0118,0.1085,0.0841,0.7522,0.0263
Ridge Regression,0.6959,0.6912,0.0122,0.1104,0.0876,0.7324,0.0255
Linear Regression,0.6947,0.6899,0.0122,0.1106,0.088,0.7331,0.0264
Decision Tree Regressor,0.6644,0.6592,0.0134,0.1159,0.0903,0.7284,0.0332
Lasso Regression,0.6642,0.659,0.0134,0.116,0.0911,0.6944,0.0231
